WORKCENTER,WEEK_ENDING,WKOR_PRODUCT_CODE,SumOfstdhours,SumOfOThours,SumOfdthrs,SumOftotalhrs,comp_work,PTB,defects,SumOfREWORK_HRS,SumOfREPAIR_HRS,SumOfREFAB_HRS,totrwkhrs,total_def_cost
J0042101,2019/01/19,BC,2.2,0,0,2.2,,0,,,,,,
J0042101,2019/02/16,BC,0,0,0.9,0.9,,0,,,,,,
J0042207,2018/09/01,BW,3.1,0,0,3.1,,0,,,,,,
J0042207,2018/09/08,BW,0.2,0.2,0,0.4,,0,,,,,,
J0042207,2019/01/19,WM,8,0,0,8,,0,,,,,,
J0042207,2019/05/11,WA,1.1,0,0,1.1,,0,,,,,,
J0043201,2018/08/18,CA,11.6,0,0,11.6,,0,,,,,,
J0043201,2018/08/25,CA,5.6,0,0,5.6,,0,,,,,,
J0043201,2018/09/01,CA,7.4,0,0,7.4,0.041,0.55%,,,,,,
J0043201,2018/09/08,CA,7.8,0,0,7.8,0.041,0.53%,,,,,,
J0043201,2018/09/15,CA,0.8,0,0,0.8,,0,,,,,,
J0043201,2018/09/22,CA,9.2,2,0,11.2,0.082,0.73%,,,,,,
J0043201,2018/09/29,CA,0,3.5,0,3.5,,0,,,,,,
J0043201,2018/10/20,CA,12,0,0,12,0.041,0.34%,,,,,,
J0043201,2018/11/03,CA,4.6,0,0,4.6,,0,,,,,,
J0043201,2018/12/01,CA,13.3,0,0,13.3,,0,,,,,,
J0043201,2018/12/08,CA,9.2,0,0,9.2,0.041,0.45%,,,,,,
J0043201,2018/12/15,CA,6.3,3,0,9.3,,0,,,,,,
J0043201,2018/12/22,CA,15.7,0,0,15.7,,0,,,,,,
J0043201,2018/12/29,CA,0,0,2.5,2.5,0.041,1.64%,,,,,,
J0043201,2019/01/05,CA,0.9,4.8,0,5.7,,0,,,,,,
J0043201,2019/01/12,CA,0.8,0,0,0.8,,0,,,,,,
J0043201,2019/02/02,CA,0,7.2,0,7.2,,0,,,,,,
J0043201,2019/02/09,CA,6.9,11.3,0,18.2,,0,,,,,,
J0044301,2018/08/11,CA,1,0,0,1,,0,,,,,,
J0044301,2018/08/11,MG,0,6.6,0,6.6,,0,,,,,,
j0044301,2018/08/18,MG,3.6,0.4,5.4,9.4,,0,,,,,,
j0044301,2018/08/25,CA,6,0,0,6,,0,,,,,,
J0044301,2018/08/25,MG,10.7,0,0,10.7,,0,,,,,,
J0044301,2018/08/25,WA,2.7,0,0,2.7,,0,,,,,,
